identifier	mzs	intensities	fold	precursor_mz
MassSpecGymID0074571	58.9949,62.0184,62.9899,65.0385,67.0542,77.0385,78.0134,78.0463,78.9943,79.0542,80.0619,85.0106,89.0385,90.0464,91.0542,92.062,93.01,93.0335,93.0699,94.0413,94.962,95.0491,97.0049,97.0107,99.0263,103.0542,104.062,105.0699,106.0413,107.049,108.0568,109.0048,109.0104,109.0646,110.0183,110.9662,111.0263,119.0492,119.0604,119.0855,120.0569,121.0105,121.0283,121.0648,122.0184,122.0362,122.0726,123.0263,123.044,124.0341,124.9821,126.0135,127.0154,134.0184,135.0262,136.0341,136.0518,137.0419,138.0134,138.0497,139.0212,141.0311,141.0368,142.9926,152.0292,152.9827,152.9923,153.0368,154.0079,154.0446,154.9982,155.0263,157.0082,166.9985,167.0258,167.9792,168.006,168.9871,169.0313,169.9857,169.9949,170.9933,173.0361,181.9947,182.9665,183.9742,184.9819,185.0267,185.0362,185.9898,186.9977,187.0423,187.051,197.0379,199.0518,200.0055,200.9775,201.0038,201.0134,201.058,202.9925,214.9928,215.0293,215.0467,216.0006,216.0275,216.9541,217.0083,217.0352,217.0624,218.0161,219.0239,230.9697,231.0238,232.0317,233.0395,234.9647,246.9647,247.055,248.9802,264.9751,278.9908,297.0014,311.017	0.00107296,0.0223155,0.00206035,0.01803409,0.00816381,0.0034131,0.00270147,0.012289369999999999,0.19566984999999998,0.020339160000000002,0.00248734,0.00248243,0.00243318,0.00111302,0.06269131,0.01476463,0.00481134,0.0139538,0.01038548,0.0085729,0.00509995,0.00683612,0.00249934,0.00306743,0.0032833899999999997,0.00950112,0.12575959,0.22072431,0.00213714,0.01704042,0.00234535,0.028733050000000003,0.00516702,0.00516996,0.00234402,0.0023910100000000003,0.00665054,0.00374232,0.00366251,0.0027276899999999996,0.00351829,0.00842851,0.00713701,0.03087927,0.02433167,0.01706949,0.01674009,0.07246296,0.01251085,0.01249431,0.7644514800000001,0.00254408,1.0,0.0013469600000000001,0.0083992,0.047019460000000006,0.0054604399999999996,0.25110703,0.01471204,0.043160119999999996,0.32063969,0.00390785,0.00232485,0.84426513,0.00323711,0.006424760000000001,0.00287478,0.0035030099999999995,0.00542369,0.00291495,0.00414774,0.0012492599999999999,0.03097047,0.0037662800000000003,0.00313479,0.03661376,0.00246604,0.06379222000000001,0.00652157,0.0076577799999999994,0.04908805,0.00254208,0.00585716,0.0052724700000000005,0.00217927,0.00331395,0.00558007,0.013255870000000001,0.02867771,0.0069479599999999996,0.009791349999999999,0.01470925,0.0017768500000000002,0.06326337,0.03392641,0.42348881,0.00449194,0.03428559,0.07034597,0.022308309999999998,0.01334136,0.00331355,0.0049438500000000005,0.00244993,0.023545609999999998,0.0105149,0.00899138,0.0120355,0.12415532000000001,0.01205037,0.0025413799999999998,0.05294228,0.01829323,0.00722544,0.06656029000000001,0.07201075,0.0035045,0.20375943,0.0162455,0.01356026,0.03890056,0.18724350999999997,0.14295637,0.02063779	train	311.0171
MassSpecGymID0210637	43.017925,50.015148,51.022953,52.030788,53.038578,69.03344,79.017792,79.0233,80.025696,81.033463,93.057281,96.04435,97.028404,97.076065,104.049568,108.020584,109.076035,115.054314,116.062027,117.057335,128.062057,129.057419,129.06987,130.065247,132.044388,142.065186,143.04689,143.072968,143.093781,143.099564,144.056976,153.057343,153.071701,154.06514,156.044342,157.051956,160.076202,169.076538,169.960068,170.060135,170.077255,171.067993,171.975769,172.959961,181.052261,181.959946,182.955429,197.954941,198.054916,198.075836,199.062927,205.960022,207.975906,209.955078,221.991547,222.975464,223.970963,231.975739,234.97496,249.986099,259.970306,277.982269	0.00494,0.00732,0.05138,0.01915,0.12783,0.02561,0.14679,0.0036,0.013560000000000001,0.12461,0.03309,0.00613,0.051699999999999996,0.00396,0.00501,0.0304,0.00659,0.02947,0.02045,0.02549,0.014110000000000001,0.01022,0.01428,0.009479999999999999,0.00527,0.043789999999999996,0.006860000000000001,1.0,0.00499,0.00774,0.52433,0.0864,0.00374,0.00602,0.01383,0.0051600000000000005,0.00441,0.00582,0.046479999999999994,0.27404,0.009260000000000001,0.12445,0.01575,0.01423,0.01398,0.025470000000000003,0.01851,0.0301,0.03536,0.0037099999999999998,0.02387,0.00481,0.03948,0.10961,0.06064,0.44359000000000004,0.00869,0.16612,0.00901,0.36783,0.01882,0.00532	train	374.04987
MassSpecGymID0250565	51.023682,77.038673,79.054527,83.396523,92.900261,106.041183,106.065117,107.048981,123.964844,130.854019,133.926422,133.949966,134.059738,135.043365,151.937469,151.960449,152.070282,157.988419	0.000330424605317185,0.0004175340274066749,0.0004991933371915201,0.000276015857055563,0.0005182225428653642,0.0004251087597622827,0.0011479414510138825,1.0,0.0003350433445584093,0.00026548513158557163,0.0005392839938053469,0.0014832619199267652,0.021796569477615973,0.003289466087599932,0.0013257629118010174,0.001122907884326447,0.28671682925398584,0.00027850997624582406	train	152.071
MassSpecGymID0066230	53.03846,78.03422,80.04989,81.05332,96.04483,123.0559,124.0594	0.019,0.03,0.262,0.011000000000000001,0.048,1.0,0.073	train	123.055297851563
MassSpecGymID0216692	55.029251,103.05468,118.06488,120.080444,123.011887,123.023621,123.033546,123.039528,123.044464,140.050308,142.06459,180.101379,199.091431,208.111832,220.060883,220.111679,220.132477,220.151291,220.161804,220.175797,221.114838,242.097107,242.143066,242.154938,243.100693,359.154846	0.0023899999999999998,0.00647,0.0033,0.0022,0.00197,0.5755,0.01095,0.00664,0.005809999999999999,0.0035099999999999997,0.00517,0.00383,0.00502,0.00513,0.00491,1.0,0.01697,0.00947,0.00928,0.00264,0.00415,0.59532,0.00509,0.00529,0.0019,0.0028699999999999997	train	359.15542
MassSpecGymID0124774	153.018005,171.029007,177.054993,179.033997,285.075989,303.087006,303.140991,352.158997,352.17099	0.058,0.009,0.18,0.045,0.019,1.0,0.043,0.006,0.006	train	303.09
MassSpecGymID0016201	129.01,138.9946,139.0058	0.08174749,1.0,0.18146877	train	416.0895
MassSpecGymID0040957	72.0807,90.0339,92.0494,93.0573,100.1121,108.0443,113.0027,120.0444,126.0105,128.0261,129.0104,140.9976,144.0211,147.0554,148.0631,154.0054,156.0211,157.0249,168.0085,168.9925,170.0004,182.0243,183.0321,184.016,187.003,211.0269,212.0347,227.0581	0.004004004004004004,0.01001001001001001,0.003003003003003003,0.01001001001001001,0.026026026026026026,0.002002002002002002,0.003003003003003003,0.01001001001001001,0.03203203203203203,0.018018018018018018,0.003003003003003003,0.06906906906906907,0.014014014014014014,0.006006006006006006,0.02702702702702703,0.016016016016016016,0.06706706706706707,0.001001001001001001,0.07607607607607608,0.043043043043043044,0.01901901901901902,0.011011011011011011,0.23423423423423423,1.0,0.014014014014014014,0.01001001001001001,0.28428428428428426,0.23223223223223224	train	300.1473
MassSpecGymID0408428	161.104919,169.145447,171.14621,173.203308,184.095749,185.143372,187.284515,189.168976,199.194382,203.180786,211.204437,213.181442,215.22258,227.187073,231.110413,239.310394,241.265076,245.211823,249.291321,255.237976,257.130676,266.340515,268.268005,269.436951,271.20752,275.091858,290.129669,292.348267,293.357025,294.320435,295.212769,301.829956,312.391174,313.282654,320.350739,327.571045,330.472565,354.374695,356.405029,357.307861,361.328308,364.241333,365.104736,385.354645,387.280914,388.142242,389.28656,390.276062,392.258423,393.140411,394.101105,394.920837,401.327606,406.398804,415.389252,418.393188,419.098267,420.65155,438.547943,439.431488,448.369385,450.398834,454.21814,457.455353,464.372864,466.34494,485.228516,499.483154,506.589722,508.411682,510.393524,519.797424,580.971619,594.074585,599.334106,606.676453,614.638794,628.910767,633.875977,637.530396,638.561401,674.96875,717.634033,718.604126,722.632568,731.798706,735.520386,736.293945,743.556519,760.557739,761.654663,762.404907,769.07019,778.717041,779.713989,780.816406	0.0001250459222814159,0.00020292767771145175,0.0007145838534155479,0.00036896466986617934,0.00035291818369908635,9.033778160082415e-05,0.0005013050866226409,0.00026513459627082865,0.00031667384406049333,0.00022072896872743283,0.00010800602732364585,0.0004305270801930775,0.0006368108795319214,0.0003090644717898836,0.00022137897034143336,0.00024004260813880528,0.0001364575015824891,0.00017691509957461096,0.0002892453192908112,6.315042651117333e-05,8.807294224921583e-05,0.00038069124108034124,0.00015160067671200113,0.00039756832574650605,0.00023912402896347039,0.00019717149927124032,0.00019487451812860788,0.0002874439820375573,0.0003154766410465856,0.02326897480591259,0.0016636099305610851,0.00020452995465119602,0.004255044405428329,0.0014962359099443031,9.086429624810969e-05,0.0003675805777630075,0.00018578458116070927,0.00017570821624656024,0.0013339817799321012,0.00015106623286430989,0.0052888372158398315,0.01570089645341057,0.0006463699929937004,0.0006881364009386412,0.4474689243428482,0.00941848290269237,0.0037952036419230646,0.013818051450894264,1.0,0.027724738431628017,0.00296026194398834,0.0005535641208600503,0.0002206104124247914,0.00032764117957923466,0.009595582955293414,0.018716782332442918,0.0001845585457639864,0.00012773814750243406,0.0006815287837783415,0.00029688393319328936,0.0022577665245218943,0.0002474747558939457,0.00027878226911261017,0.0002405178604070909,0.00012199883878040586,0.0034709134604878835,0.00013027144636276524,0.00011105166664770856,0.0001934268114081863,0.0002049448662946575,0.0064000314374104425,9.013493573357247e-05,0.00022998955468034026,0.00011340142517785517,0.00026880758684783235,0.00022387358336097628,0.000557782738802141,0.00012373954814748093,0.00044708724868858615,0.039202505420736125,0.0011047672839322095,0.0003218173884733307,0.00016450643611155602,8.253788028542909e-05,8.09828243902844e-05,0.0002442343691117801,0.0007639919013449082,0.0006940749352478352,0.00029788250481817594,0.188118558024242,0.004293527750572048,0.00042167919829979645,0.0008824632061060254,0.029775109006768656,0.004285018219268584,0.000454722616144248	train	778.575
MassSpecGymID0027556	65.0385,80.0494,90.0337,92.0494,93.0573,107.0603,117.0447,133.0636,134.0712	0.06737045,0.01713973,0.00124863,0.33947246,0.06623776,0.06388006,0.00743828,0.012738000000000001,1.0	train	134.0713
MassSpecGymID0124187	153.018005,177.054993,179.033997,215.016006,285.075012,301.071014,303.085999	0.062,0.167,0.039,0.014,0.016,0.01,1.0	train	303.09
MassSpecGymID0408424	166.190186,182.975784,185.2771,186.030365,189.203354,203.207443,215.044205,243.787476,262.143921,266.241699,267.370972,269.41217,285.20636,293.364441,294.361755,312.618591,313.303833,338.394592,356.411987,361.274933,364.323181,369.132507,385.079163,386.335358,387.290771,388.35022,389.36264,390.259644,392.266418,393.239746,394.294067,398.366638,415.349945,416.211365,418.376587,446.651947,448.476715,466.424042,510.37854,595.699829,615.500854,616.393311,637.547852,655.607422,735.63269,760.577026,761.262695,763.400269,778.747803,779.588623,781.983643	0.00043202138785842023,0.0005981082519544442,0.0021304935432472126,0.0025762491306121887,0.000930337854734918,0.0012296276010724293,0.0008299812431798818,0.0016880175476558384,0.0012360146056336085,0.0018956998144789058,0.0008816357382403386,0.0011338382930916593,0.00118466141335094,0.0008935352494568597,0.010858506843891048,0.0018647735954565982,0.0009943465263707433,0.0007304331310686248,0.0013902919502422452,0.04207017715489211,0.025728566064535937,0.0016472256137790202,0.0005535478706701916,0.001966827314053037,0.39592388223259034,0.003892506713130876,0.004803049453872227,0.04835564901651945,1.0,0.01459939709341851,0.009855935035865588,0.0005926589907779798,0.013465185758046179,0.0021348348723500762,0.17362381653548067,0.0010858540469987315,0.0005329861475025338,0.005063739858108074,0.007654882648623178,0.000615439524359469,0.001354903563394237,0.004206920722197731,0.015175099969742326,0.0012658220164703943,0.0038271298193020132,0.222253683384243,0.007113131786254951,0.0010732301303104281,0.011400283851763676,0.0027827532877979944,0.001571773208971323	train	778.575
MassSpecGymID0185461	55.054142,57.033287,57.069717,67.053993,69.069641,71.048897,73.028137,81.069656,85.028252,93.06974,95.049248,95.085266,95.092125,95.095871,99.043739,109.100983,113.059464,113.095879,113.104286,119.085274,137.09584,153.018051	0.0146,0.01363,0.01746,0.06419,0.08311,0.051210000000000006,0.01106,0.01265,0.0111,0.03328,0.01141,1.0,0.01867,0.011930000000000001,0.02153,0.14962999999999999,0.02617,0.95532,0.0158,0.013040000000000001,0.05917,0.02724	train	495.27999
MassSpecGymID0247788	54.610222,64.159607,65.038857,66.046791,67.042091,69.045303,74.931198,78.034286,80.049728,83.029343,92.049637,93.057442,96.044456,97.044868,107.029137,108.036858,108.055748,110.060257,111.013786,116.990097,119.060463,122.00563,124.021553,126.928902,130.805084,135.055435,142.562714,143.005844,143.451538,144.055603,145.039566,145.075958,148.055115,149.063461,156.98497,160.087982,170.016678,175.050079,175.066528,176.074493,182.016068,184.032516,184.072296,185.082047,191.037048,193.071869,197.026001,198.071136,199.080338,200.08696,202.077423,211.043015,211.062805,213.076996,216.057098,218.04747,225.044785,234.048492,235.056183,238.053757,239.038147,245.103134,250.055161,261.090881,262.04425,263.060486,266.048767,270.098175,293.119995,296.059143,302.069031,303.077759,308.083374,314.04776,319.06546,323.070038,336.073425,336.7659,341.05954,354.085785,361.067139,369.149719,389.062561,412.09671,413.104614,446.084198	0.0005181052228681606,0.0005771166308938017,0.0012245987635093173,0.006896566148576384,0.0025394326927084755,0.0009513535349551461,0.0006164077709210008,0.0006235787774658888,0.002802668391293741,0.0037697085030658295,0.005854379864052656,0.2465046945442534,0.008472096044876158,0.000601468173952484,0.01795470642870279,0.005486716382657459,0.0011575199731206772,0.002277242765911007,0.0061661692527856,0.004580032242638177,0.0010365092376756915,0.003290296836346127,0.10166709468611981,0.0005724853558335616,0.0005910104560745223,0.0024928211501667034,0.0008838265566574504,1.0,0.0008623135370227863,0.00139640412864726,0.0011156891016088303,0.0024633901441387255,0.006769728970313677,0.0006704891119470313,0.008112051757934906,0.0006533085754332371,0.011503041477848835,0.0012398371524172044,0.02027452704597407,0.014166472825396001,0.0012268397030545948,0.020063131748869558,0.0007580351501825395,0.059651569755742075,0.0009187852135637796,0.0012450660113561853,0.000605950053043039,0.00849644758793484,0.0006329907235560543,0.06505044130822465,0.003401596833761577,0.010339097478031696,0.0009249104483208715,0.03468107919465414,0.00472061385011192,0.004681322710084721,0.0007185946141856553,0.004767972372502118,0.005966576237286216,0.014573875634727451,0.002627277522883354,0.0012746464133538485,0.0006303015961017214,0.001346505874772414,0.0025563144372828996,0.0008224248131168466,0.0037915203146398637,0.24673506312950794,0.0027479894663889693,0.009652025413449611,0.001005733667920547,0.030794543043294504,0.0009531462865913681,0.0029026142950131176,0.007837013777744511,0.049801893474398985,0.0006537567633422926,0.0006534579714029223,0.0030700871770301904,0.0008439378327515108,0.00383275360227297,0.0005824948858024677,0.004814135727134835,0.012543733802675712,0.012673708296301807,0.5403051651714371	train	446.085
MassSpecGymID0411146	91.053978,93.070145,95.085678,97.100922,101.971733,103.878212,105.070084,109.101517,118.496445,119.085472,120.965912,121.10096,123.116882,124.999458,130.193466,131.085281,133.101349,135.117188,144.942078,145.101028,146.981873,147.118179,154.119293,157.102448,158.613968,159.11702,171.11908,176.210052,176.48143,184.073639,185.255234,185.968521,189.167725,199.145386,203.17952,207.998398,209.002731,224.249176,239.238266,269.227386,306.760773,306.786285,313.274139,326.269196,339.289215,365.162445,367.284515,374.268555,426.76416,459.25235,514.90033,558.470154,576.508789,577.510864,599.503418,737.445251,783.428162	0.040547066121138065,0.023420826708937206,0.0737641191238718,0.031315781374054386,0.01688437526739947,0.020567750343791494,0.03270695702189889,0.05286013185620389,0.020801102490907077,0.04892506844035851,0.06354212246686192,0.04149888216596852,0.03668171044871124,0.02275529064924151,0.020287239544635245,0.026800808404736868,0.04596696169638828,0.037732623395060234,0.01946155741969082,0.022961063829974315,0.043934664533571505,0.02649029950274219,0.020191878457211074,0.02368724045873512,0.016724300679546462,0.02193103615192319,0.022141118032742903,0.01993580161902604,0.01857682173723157,1.0,0.01878185560699076,0.02053252542972057,0.021482150425665588,0.02066713379498899,0.09999240511064258,0.23619501117448477,0.03233850000832135,0.02065169851809054,0.0528646084748294,0.0471819065179287,0.01622807558078797,0.017087279964227726,0.6362428985119041,0.043607177083026964,0.02210993831253886,0.02029913594366693,0.043909354707796056,0.060435542876507715,0.020453833511073754,0.019998014904162295,0.018681835900288705,0.018866181437977626,0.03846451074769081,0.04313793672812268,0.7024746110439467,0.021967241053094205,0.04381258562235893	train	784.513
MassSpecGymID0218965	55.054001,57.069637,83.048866,91.053978,103.053925,107.060188,108.068039,117.04467,118.065033,119.050484,119.060234,120.080643,133.039597,133.075729,135.055252,146.096558,147.055313,161.071121,161.10759,163.123123,174.07901,175.087097,178.077347,179.045334,179.086136,189.10257,202.061081,205.089172,206.097061,224.107635,234.092224	0.27923,0.14150000000000001,0.14969,1.0,0.03267,0.4836,0.5029,0.03971,0.02812,0.02521,0.97662,0.22428,0.5756600000000001,0.05994,0.47299,0.13222,0.56778,0.03669,0.02919,0.42926000000000003,0.02779,0.06174,0.02532,0.15893000000000002,0.03488,0.15326,0.023719999999999998,0.02947,0.0836,0.0356,0.34075000000000005	train	382.17613
MassSpecGymID0113355	57.033192,61.028049,69.033005,71.048767,73.027969,79.26889,81.033073,85.027924,85.03717,87.043625,91.03846,97.027916,99.043602,109.027931,127.037117,145.049133,302.04184,316.977692,316.997101,317.065399,317.153839,479.060333	0.00294,0.00813,0.011699999999999999,0.0027500000000000003,0.0039000000000000003,0.0022400000000000002,0.0042899999999999995,0.10961,0.00228,0.00559,0.01172,0.03175,0.00834,0.00637,0.046669999999999996,0.05333,0.00172,0.00602,0.00458,1.0,0.0066300000000000005,0.008199999999999999	train	479.1184
MassSpecGymID0033144	70.0399,125.0151,233.1088,320.1524	0.07307307307307308,0.003003003003003003,0.001001001001001001,1.0	train	320.1524
MassSpecGymID0046894	43.029075,60.055624,60.080776,60.093352,91.054227,106.065126,108.080776,116.049476,133.076025,150.102574,158.071274,175.097823,192.124372	0.03403403403403404,1.0,0.05905905905905906,0.03303303303303303,0.01001001001001001,0.03303303303303303,0.01701701701701702,0.03203203203203203,0.12512512512512514,0.03803803803803804,0.01001001001001001,0.02002002002002002,0.01901901901901902	train	192.1243719034
MassSpecGymID0412628	98.984154,102.389801,104.106941,111.184898,120.54805,122.630646,124.999725,129.069931,129.922287,150.594925,152.704834,159.435379,166.915482,183.873734,183.881027,183.89566,183.963989,183.971191,183.979019,183.986526,183.993835,184.001617,184.009018,184.024445,184.031708,184.039169,184.046921,184.055084,184.073135,184.099823,184.107056,184.11496,184.122131,184.129868,184.137329,184.145081,184.152374,184.220749,184.227936,184.235825,184.243134,184.251205,184.258179,184.265656,185.07663,186.078522,194.033981,196.83493,255.212509,274.49469,377.092773,408.54837,510.390106,602.852417,624.566467,679.566528,820.663269,821.672119	0.0058995081843547445,0.0004745682312437174,0.011032940428534217,0.0005929002702221506,0.0004959770755374397,0.00043452151151304036,0.03391408835469945,0.000571098454428626,0.0006463731606733892,0.0006225616587351115,0.0006817563569468622,0.0005118797999027697,0.0005658461641943416,0.0013661039284251835,0.0024273881944852117,0.002559453382912032,0.0025367599085171994,0.003592826082024724,0.004012965286030815,0.003237307088301781,0.004416833251946445,0.004641005843100463,0.0050883198180469635,0.005234628903150245,0.008540685756482794,0.006252455507007369,0.0073342925412442275,0.0038728236914079193,1.0,0.005707658175066874,0.008274653054262494,0.005456031352857427,0.00726867125366467,0.005063291992651191,0.005432108665539908,0.004366616092279352,0.0042049852808064645,0.002290227927568361,0.002288425662871197,0.0017207328547197626,0.002582521434847435,0.0010618240034947946,0.0025416692267273178,0.0010838642580004959,0.0012312018483643526,0.0009263765368530722,0.0005303320037797591,0.0006196744436047926,0.0004957796022959662,0.0006406818995760127,0.0006463262490376116,0.0005985008884651653,0.0035201631289789115,0.0005214597623101035,0.0005525830337327459,0.0030870123001284873,0.0045131172965682375,0.001084562798352461	train	820.622
